This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199605   ,2.93   ,3.27   ,3.70   ,0.77   ,2.62   ,1.33
199606   ,0.41   ,0.28   ,0.18   ,1.41   ,0.48   ,0.38
199607  ,-1.28  ,-0.95  ,-1.96  ,-2.30  ,-0.74  ,-1.74
199608   ,0.82   ,1.46   ,2.77   ,2.39   ,2.80   ,3.08
199609  ,-1.45  ,-0.70  ,-0.45   ,1.93   ,2.16   ,1.31
199610   ,1.91   ,2.84   ,3.08   ,0.99   ,2.31   ,2.26
199611   ,1.87   ,2.58   ,2.37   ,4.77   ,4.59   ,4.65
199612   ,2.42   ,2.40   ,2.66   ,2.70   ,2.42   ,1.61
199701   ,1.34   ,0.38   ,1.32   ,2.09  ,-1.43   ,0.06
199702   ,0.98   ,1.94   ,1.65  ,-0.47   ,1.73   ,1.49
199703   ,2.67   ,1.79   ,0.97   ,3.42   ,2.25   ,2.08
199704  ,-1.91  ,-1.64  ,-1.63  ,-0.47   ,0.31  ,-1.27
199705   ,3.78   ,4.15   ,3.27   ,4.10   ,4.91   ,5.20
199706   ,0.86   ,2.44   ,0.03   ,5.58   ,4.11   ,3.59
199707  ,-1.55  ,-0.98  ,-1.15   ,3.58   ,5.23   ,3.21
199708   ,0.56   ,0.10   ,0.63  ,-2.96  ,-6.79  ,-5.85
199709   ,6.54   ,5.98   ,6.24  ,10.03   ,8.89  ,10.45
199710  ,-0.67  ,-0.55  ,-0.64  ,-4.84  ,-5.07  ,-4.86
199711  ,-2.00  ,-1.49  ,-1.75  ,-0.56   ,1.57   ,3.05
199712  ,-0.34  ,-0.32   ,0.04   ,2.02   ,3.30   ,3.53
