This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
201512   ,1.07   ,1.34   ,2.11  ,-3.52  ,-1.82  ,-1.26
201601  ,-6.84  ,-6.40  ,-8.09  ,-4.79  ,-6.37  ,-8.11
201602  ,-0.16  ,-0.05  ,-0.95  ,-1.37  ,-1.88  ,-2.34
201603   ,8.53   ,7.87   ,8.73   ,5.42   ,6.82   ,7.47
201604   ,2.00   ,2.42   ,1.82   ,3.68   ,1.65   ,2.07
201605   ,0.70   ,0.71   ,0.64  ,-1.19  ,-0.10  ,-0.19
201606  ,-6.91  ,-6.03  ,-8.73  ,-2.18  ,-5.95  ,-6.00
201607   ,5.90   ,6.12   ,5.34   ,3.10   ,4.70   ,5.38
201608   ,2.06   ,1.85   ,3.47   ,1.42   ,0.29   ,0.04
201609   ,1.62   ,1.62   ,2.20   ,1.23   ,0.74   ,0.59
201610  ,-1.81  ,-3.04  ,-4.95  ,-1.79  ,-3.13  ,-4.56
201611  ,-0.59  ,-2.69  ,-1.39  ,-1.08  ,-2.99  ,-4.01
201612   ,3.96   ,4.76   ,3.21   ,5.44   ,4.80   ,4.09
201701   ,5.18   ,4.54   ,4.86   ,3.00   ,2.17   ,2.95
201702   ,0.08   ,0.97   ,1.04  ,-0.53   ,1.57   ,1.16
201703   ,2.47   ,4.01   ,2.77   ,3.82   ,5.19   ,4.08
201704   ,5.44   ,6.32   ,7.04   ,3.59   ,5.17   ,4.64
201705   ,4.72   ,4.88   ,5.61   ,4.72   ,5.28   ,5.21
201706   ,0.47   ,1.65   ,0.42  ,-0.24  ,-0.61  ,-1.77
201707   ,4.26   ,4.08   ,4.46   ,4.87   ,2.22   ,3.99
201708  ,-0.45   ,0.11   ,0.66   ,0.23   ,0.72  ,-0.81
201709   ,1.93   ,2.84   ,3.14   ,2.84   ,2.98   ,2.62
201710  ,-0.32  ,-0.49   ,0.11   ,0.78   ,0.71   ,0.99
201711  ,-0.19  ,-0.05  ,-0.23   ,0.60   ,0.34  ,-1.15
201712   ,3.39   ,2.63   ,2.99   ,1.91   ,0.89   ,1.64
201801   ,6.68   ,5.27   ,6.51   ,6.55   ,5.20   ,4.90
201802  ,-4.72  ,-3.94  ,-4.42  ,-5.37  ,-5.43  ,-5.18
201803  ,-1.22  ,-1.47  ,-0.61  ,-1.62  ,-0.23   ,0.50
201804   ,1.41   ,2.25   ,1.51   ,2.85   ,2.39   ,1.90
201805  ,-2.64  ,-2.40  ,-0.42  ,-3.87  ,-2.57  ,-1.25
201806  ,-1.39  ,-1.44  ,-1.95  ,-1.38  ,-0.72   ,0.33
201807   ,0.17   ,1.20   ,1.48   ,2.49   ,3.52   ,2.91
201808  ,-2.73  ,-1.39  ,-1.15  ,-3.27  ,-2.63  ,-1.37
201809  ,-1.20  ,-0.31  ,-0.85   ,0.96   ,0.47  ,-0.67
201810 ,-10.42  ,-8.34 ,-10.57  ,-8.43  ,-7.05 ,-10.59
201811  ,-3.18  ,-2.11  ,-1.94  ,-0.86  ,-0.34  ,-3.01
201812  ,-5.67  ,-3.97  ,-5.35  ,-4.76  ,-3.76  ,-5.08
201901   ,6.81   ,6.71   ,7.43   ,6.07   ,5.90   ,8.01
201902   ,2.13   ,2.23   ,1.23   ,2.34   ,3.76   ,3.57
201903  ,-1.17  ,-1.07  ,-0.68   ,0.29   ,1.15   ,1.52
201904   ,4.45   ,3.91   ,3.99   ,3.84   ,3.57   ,4.87
201905  ,-4.94  ,-3.52  ,-4.16  ,-5.29  ,-4.90  ,-6.09
201906   ,4.26   ,4.06   ,2.93   ,5.71   ,6.46   ,6.84
201907  ,-2.74  ,-4.22  ,-3.53  ,-2.48  ,-2.37  ,-1.63
201908  ,-1.76  ,-2.86  ,-3.98  ,-3.75  ,-1.38  ,-1.52
201909   ,2.14   ,1.83   ,1.44   ,3.55   ,1.98   ,1.63
201910   ,3.98   ,3.90   ,4.64   ,2.31   ,3.38   ,4.75
201911   ,2.84   ,2.99   ,4.43   ,0.79   ,1.95   ,2.56
201912   ,6.75   ,5.94   ,7.15   ,4.25   ,3.89   ,3.62
202001  ,-2.69  ,-2.44  ,-2.09  ,-3.94  ,-2.12  ,-0.98
202002  ,-9.40  ,-8.08  ,-8.57 ,-10.55  ,-8.12  ,-8.31
202003 ,-21.74 ,-20.52 ,-19.19 ,-17.76 ,-13.18 ,-14.22
202004   ,9.39   ,9.75  ,13.03   ,4.55   ,5.95   ,9.15
202005   ,4.66   ,5.17   ,7.76   ,3.40   ,4.74   ,9.09
202006   ,3.97   ,2.44   ,3.38   ,4.39   ,4.01   ,4.09
202007   ,4.28   ,5.47   ,7.32   ,3.32   ,3.65   ,4.78
202008   ,6.65   ,6.47   ,8.56   ,4.39   ,4.32   ,5.82
202009  ,-2.91  ,-2.86  ,-2.26  ,-4.11  ,-3.28  ,-0.94
202010  ,-3.65  ,-4.02  ,-3.54  ,-5.73  ,-3.73  ,-5.61
202011  ,19.22  ,17.98  ,18.45  ,17.28  ,16.81  ,14.66
202012   ,8.59   ,8.83  ,11.33   ,4.92   ,4.88   ,6.19
202101   ,0.38   ,0.31   ,0.36  ,-1.84  ,-1.18  ,-1.41
202102   ,4.38   ,3.98   ,4.11   ,2.40   ,3.19   ,1.00
202103   ,2.03   ,2.38   ,1.37   ,2.73   ,4.39   ,2.29
202104   ,5.35   ,6.85   ,8.22   ,4.33   ,3.73   ,8.62
202105   ,4.11   ,4.93   ,2.89   ,4.48   ,4.55   ,4.86
202106  ,-3.12  ,-3.13  ,-3.35  ,-1.90  ,-1.84  ,-0.22
202107   ,0.58   ,2.79   ,2.93   ,0.51   ,2.03   ,3.91
202108   ,1.89   ,2.66   ,4.06   ,0.63   ,1.37   ,1.86
202109  ,-3.78  ,-5.36  ,-5.95  ,-3.77  ,-5.07  ,-6.10
202110   ,1.90   ,3.38   ,2.70   ,3.83   ,4.90   ,4.33
202111  ,-6.15  ,-4.95  ,-5.13  ,-5.27  ,-4.29  ,-2.80
202112   ,5.21   ,4.16   ,3.57   ,6.91   ,5.80   ,2.93
202201  ,-4.96  ,-5.18  ,-9.74  ,-2.71  ,-4.78  ,-8.36
202202  ,-2.24  ,-3.20  ,-4.86  ,-3.51  ,-3.50  ,-4.44
202203   ,0.51  ,-0.19   ,0.41  ,-1.49   ,0.98  ,-1.10
202204  ,-4.98  ,-6.36  ,-8.49  ,-3.65  ,-5.61  ,-8.29
202205   ,1.71   ,0.72  ,-0.66   ,2.46   ,0.54   ,1.41
202206 ,-11.41  ,-9.96 ,-12.34 ,-11.39  ,-8.59 ,-10.89
202207   ,4.11   ,4.49   ,6.74   ,3.26   ,5.00   ,8.48
202208  ,-5.26  ,-6.52  ,-8.22  ,-6.18  ,-6.01  ,-7.57
202209 ,-11.76 ,-11.76 ,-14.93  ,-9.27  ,-8.01 ,-11.60
202210   ,6.11   ,6.71   ,6.27   ,7.30   ,6.88   ,6.89
202211  ,11.16  ,12.23  ,10.40  ,11.35  ,13.37  ,14.51
202212   ,1.25   ,1.26  ,-0.16  ,-0.23  ,-1.26  ,-0.89
202301   ,7.09   ,7.74   ,7.37   ,9.20   ,9.34   ,6.54
202302  ,-0.66   ,0.38  ,-1.47  ,-0.11  ,-1.73  ,-0.89
202303  ,-0.71  ,-0.74  ,-2.71   ,1.72   ,2.71   ,4.36
202304   ,3.10   ,3.20   ,2.78   ,5.23   ,3.45   ,3.43
202305  ,-4.30  ,-4.40  ,-4.92  ,-5.70  ,-5.32  ,-5.30
202306   ,2.58   ,3.32   ,1.91   ,5.35   ,4.72   ,4.31
202307   ,4.04   ,3.21   ,3.52   ,3.27   ,2.72   ,2.43
202308  ,-4.39  ,-3.35  ,-5.51  ,-3.12  ,-4.02  ,-5.60
202309  ,-6.24  ,-4.84  ,-6.02  ,-3.14  ,-4.53  ,-5.97
202310  ,-5.36  ,-4.53  ,-7.18  ,-3.63  ,-3.92  ,-3.42
202311   ,8.70   ,9.27  ,10.40   ,8.70   ,9.18  ,11.98
202312   ,8.23   ,8.11   ,9.36   ,4.75   ,5.03   ,5.97
202401  ,-2.33  ,-2.11  ,-3.20  ,-0.49  ,-1.66  ,-0.24
202402  ,-0.39  ,-1.40  ,-0.97   ,0.09   ,1.95   ,4.57
202403   ,2.74   ,3.48   ,2.76   ,4.23   ,3.67   ,3.34



  Average Equal Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,4.97   ,5.45   ,4.56   ,5.37   ,4.73   ,4.62
199008  ,-7.98  ,-9.07  ,-9.78 ,-11.77 ,-11.93 ,-12.05
199009  ,-8.35  ,-8.44 ,-10.90 ,-12.98 ,-12.63 ,-13.81
199010   ,3.00   ,4.88   ,3.41   ,6.35   ,5.80   ,6.81
199011  ,-2.05  ,-2.14  ,-3.12  ,-1.16  ,-2.42  ,-1.45
199012  ,-0.57  ,-0.05  ,-0.40  ,-1.01  ,-0.08  ,-1.35
199101  ,-0.50  ,-2.14  ,-2.71  ,-0.08   ,1.57   ,0.59
199102   ,7.87   ,9.21  ,10.35  ,10.90  ,10.55  ,11.83
199103  ,-3.87  ,-3.32  ,-1.61  ,-5.80  ,-5.05  ,-6.32
199104  ,-0.32   ,0.09  ,-1.67  ,-0.49  ,-1.92  ,-1.45
199105  ,-1.90  ,-1.35  ,-3.37   ,1.12   ,1.21  ,-0.48
199106  ,-5.34  ,-5.52  ,-7.66  ,-5.87  ,-6.36  ,-7.33
199107   ,2.08   ,3.57   ,2.89   ,4.14   ,4.23   ,4.33
199108  ,-0.08   ,0.46   ,1.47   ,3.53   ,1.48   ,1.16
199109   ,7.42   ,5.63   ,6.54   ,2.48   ,3.03   ,2.77
199110  ,-2.85  ,-2.74  ,-3.48  ,-3.42  ,-2.67  ,-4.08
199111  ,-0.73  ,-1.27  ,-1.89  ,-3.36  ,-1.99  ,-2.29
199112   ,2.98   ,4.46   ,3.14   ,4.62   ,5.15   ,4.94
199201  ,-0.90  ,-1.97  ,-3.74   ,1.16   ,1.44   ,1.03
199202  ,-0.28   ,1.37  ,-0.79  ,-0.66   ,0.16  ,-0.39
199203  ,-3.61  ,-2.68  ,-3.82  ,-2.37  ,-2.90  ,-3.36
199204   ,6.18   ,4.06   ,4.70   ,5.14   ,4.76   ,2.86
199205   ,7.26   ,7.11   ,6.04   ,4.90   ,4.60   ,4.26
199206  ,-0.09   ,0.18  ,-1.41  ,-2.24  ,-0.71  ,-2.68
199207  ,-5.58  ,-3.59  ,-4.98  ,-6.13  ,-4.94  ,-4.81
199208  ,-2.53   ,0.07  ,-1.40  ,-2.35  ,-1.83  ,-1.26
199209  ,-7.19  ,-6.85  ,-6.99  ,-5.47  ,-4.77  ,-5.43
199210 ,-10.46  ,-8.79  ,-8.90  ,-5.94  ,-5.55  ,-5.45
199211  ,-1.30  ,-3.31  ,-3.89  ,-0.56  ,-1.05  ,-1.02
199212   ,2.33  ,-0.82  ,-0.47   ,1.72   ,0.78   ,1.07
199301   ,7.35   ,3.65   ,5.77   ,2.28   ,3.95   ,3.57
199302   ,2.32   ,1.37  ,-0.13   ,1.03   ,1.76   ,1.90
199303   ,9.16   ,7.33   ,5.43   ,6.17   ,5.64   ,4.82
199304   ,6.76   ,6.35   ,5.22   ,5.20   ,4.24   ,3.67
199305   ,4.08   ,2.18   ,1.93   ,1.78   ,0.70   ,1.21
199306  ,-3.91  ,-4.91  ,-5.32  ,-3.42  ,-3.20  ,-5.31
199307   ,2.27   ,3.12   ,2.79   ,3.22   ,2.16   ,1.00
199308   ,9.88   ,9.77  ,10.54   ,9.69   ,9.86   ,9.30
199309   ,2.07   ,1.67   ,0.57  ,-0.70  ,-0.45  ,-1.46
199310   ,0.96   ,1.19   ,0.26   ,2.42   ,2.27   ,1.62
199311  ,-0.60  ,-0.32  ,-0.10  ,-1.56  ,-2.50  ,-3.03
199312   ,6.28   ,5.35   ,5.08   ,7.50   ,8.12   ,7.42
199401  ,17.16  ,12.54  ,12.33  ,10.95   ,8.00   ,7.87
199402   ,2.78   ,2.13   ,1.34  ,-1.62  ,-2.02  ,-2.34
199403  ,-0.69   ,0.28  ,-0.11  ,-1.76  ,-0.22  ,-0.58
199404   ,4.67   ,4.01   ,3.74   ,5.07   ,4.62   ,4.88
199405  ,-1.08  ,-0.76  ,-3.15  ,-3.81  ,-3.30  ,-4.22
199406  ,-1.09  ,-0.54  ,-1.02  ,-1.77  ,-0.83  ,-1.51
199407   ,1.41   ,1.82   ,1.95   ,4.54   ,4.58   ,4.46
199408   ,1.30   ,1.91   ,1.57   ,0.74   ,1.62   ,0.97
199409   ,0.37   ,0.58  ,-0.33  ,-2.71  ,-2.99  ,-2.14
199410   ,0.99   ,1.61   ,1.35   ,2.38   ,3.09   ,2.00
199411  ,-4.92  ,-4.23  ,-4.63  ,-4.44  ,-4.21  ,-4.71
199412   ,0.69   ,1.32   ,0.91   ,0.91   ,0.68   ,0.51
199501   ,0.91   ,1.08   ,0.20  ,-0.95  ,-1.24  ,-1.14
199502   ,1.50   ,2.23   ,1.31   ,2.04   ,2.44   ,1.46
199503   ,1.05   ,3.29   ,2.52   ,2.00   ,2.55   ,0.74
199504   ,1.08   ,0.33   ,1.59   ,3.21   ,3.60   ,3.31
199505   ,1.95   ,1.55   ,2.56   ,2.35   ,2.53   ,1.96
199506   ,0.84   ,2.07   ,1.92   ,1.38   ,1.72   ,0.99
199507   ,2.42   ,2.03   ,3.95   ,3.50   ,3.66   ,5.25
199508  ,-2.57  ,-2.22  ,-2.86  ,-4.17  ,-4.22  ,-3.36
199509   ,3.24   ,2.07   ,2.52   ,1.73   ,2.57   ,2.04
199510  ,-1.49  ,-0.69  ,-0.04  ,-2.13  ,-0.93  ,-2.58
199511  ,-2.76  ,-2.99  ,-2.33  ,-1.33  ,-0.16  ,-2.21
199512   ,0.43   ,1.27   ,1.61   ,1.60   ,2.57   ,2.76
199601  ,-0.19   ,1.00   ,0.53   ,1.17   ,1.30   ,1.60
199602   ,4.18   ,3.40   ,3.99   ,3.06   ,3.27   ,3.55
199603   ,1.07   ,1.82   ,1.81   ,0.79   ,1.27   ,1.16
199604   ,1.69   ,0.70   ,1.20   ,1.99   ,1.12   ,1.88
199605   ,3.53   ,3.44   ,4.41   ,2.08   ,2.25   ,3.17
199606   ,1.41   ,0.04  ,-0.37   ,0.30   ,0.36  ,-0.54
199607   ,0.71   ,0.61  ,-1.08  ,-1.90  ,-0.86  ,-2.85
199608   ,1.11   ,1.14   ,2.79   ,1.73   ,2.01   ,3.24
199609  ,-1.48  ,-0.70  ,-0.62   ,0.13   ,0.59   ,0.73
199610   ,1.07   ,2.02   ,2.06   ,1.27   ,1.76   ,1.84
199611   ,2.45   ,2.33   ,1.94   ,4.03   ,3.33   ,3.60
199612   ,2.15   ,2.08   ,2.71   ,2.91   ,3.22   ,1.88
199701   ,1.22   ,0.53   ,0.79   ,1.99   ,0.11   ,1.33
199702   ,2.76   ,2.31   ,2.59   ,0.11   ,0.71   ,0.79
199703   ,2.64   ,1.97   ,0.66   ,2.61   ,1.71   ,1.94
199704  ,-1.07  ,-1.56  ,-1.70  ,-1.71  ,-1.71  ,-1.56
199705   ,3.45   ,3.57   ,2.82   ,3.39   ,3.47   ,3.78
199706   ,0.34   ,2.20  ,-0.35   ,3.28   ,2.80   ,3.37
199707  ,-2.15  ,-1.59  ,-2.36   ,1.30   ,1.83   ,3.32
199708   ,0.95   ,0.68   ,1.61  ,-1.77  ,-2.83  ,-2.82
199709   ,5.63   ,5.64   ,6.12   ,9.21   ,8.00   ,7.07
199710   ,0.23  ,-0.36  ,-0.58  ,-3.48  ,-3.28  ,-3.51
199711  ,-1.62  ,-1.42  ,-1.27  ,-1.08   ,0.14   ,1.96
199712  ,-0.96  ,-0.85  ,-1.34   ,1.60   ,2.37   ,1.75
199801   ,2.46   ,2.16   ,2.42   ,2.58   ,3.45   ,2.88
199802   ,6.16   ,5.96   ,5.20   ,8.41   ,7.88   ,7.66
199803   ,7.60   ,6.32   ,8.40  ,11.54   ,7.72   ,8.47
199804   ,4.16   ,4.96   ,7.13   ,3.49   ,3.25   ,4.38
199805   ,4.09   ,4.60   ,5.68   ,2.82   ,3.74   ,2.20
199806  ,-2.97  ,-2.34  ,-2.86  ,-4.92  ,-2.46  ,-1.83
199807  ,-0.66   ,0.05  ,-0.04  ,-0.05   ,2.34   ,3.78
199808  ,-6.85  ,-7.20 ,-10.86 ,-10.53 ,-10.77 ,-13.77
199809  ,-2.31  ,-2.37  ,-4.61  ,-5.36  ,-4.06  ,-5.27
199810   ,0.57   ,0.33   ,0.46   ,6.81   ,6.82   ,6.74
199811   ,0.81   ,1.54   ,1.46   ,2.21   ,2.92   ,4.90
199812   ,1.02   ,0.35  ,-0.29   ,1.21   ,2.48   ,1.97
199901   ,0.71   ,0.31   ,2.84  ,-1.60  ,-1.79   ,1.93
199902  ,-0.02   ,0.11   ,0.10  ,-0.75  ,-1.81  ,-2.96
199903   ,0.94   ,0.34   ,1.11   ,1.79  ,-0.28   ,1.18
199904   ,4.87   ,4.23   ,4.53   ,5.91   ,4.24   ,3.68
199905   ,3.02   ,2.70   ,1.97  ,-1.40  ,-1.93  ,-2.92
199906   ,2.42   ,2.51   ,2.83   ,1.33   ,2.26   ,2.47
199907   ,5.60   ,5.04   ,5.73   ,3.20   ,1.72   ,1.58
199908   ,3.04   ,3.26   ,4.50   ,0.58   ,1.34   ,1.68
199909   ,2.09   ,1.68   ,1.30   ,0.09  ,-1.17   ,0.62
199910  ,-0.24  ,-0.03   ,0.84  ,-0.76  ,-0.76   ,0.58
199911   ,3.07   ,0.81   ,5.87  ,-0.29  ,-0.94   ,5.44
199912   ,5.80   ,4.92   ,8.66   ,7.56   ,6.32  ,10.57
200001   ,4.68   ,0.30   ,7.29  ,-7.25  ,-8.41  ,-5.66
200002   ,3.38   ,1.85   ,9.27   ,2.29   ,1.35   ,8.05
200003   ,1.56  ,-0.25  ,-0.22   ,2.96   ,4.59   ,0.74
200004  ,-6.64  ,-5.83  ,-8.05  ,-4.50  ,-2.95  ,-5.10
200005   ,1.83   ,4.51  ,-0.08   ,4.60   ,3.78  ,-0.64
200006   ,2.82   ,2.25   ,0.66   ,1.63   ,1.88   ,1.75
200007  ,-1.32  ,-1.42  ,-3.48  ,-0.66   ,2.06   ,0.50
200008  ,-0.84  ,-0.94  ,-1.20  ,-0.03  ,-0.62   ,0.35
200009  ,-1.44  ,-0.72  ,-3.00  ,-2.85  ,-2.93  ,-5.21
200010  ,-5.72  ,-6.07 ,-11.71  ,-0.92  ,-2.28  ,-6.16
200011  ,-1.88  ,-1.18 ,-10.83  ,-0.31  ,-0.65 ,-11.05
200012   ,4.46   ,6.09   ,2.22   ,8.36   ,7.31   ,5.76
200101   ,4.81   ,3.61   ,5.87   ,1.07   ,3.03   ,4.70
200102  ,-2.48  ,-1.85  ,-7.66  ,-3.06  ,-3.66 ,-11.13
200103  ,-7.73  ,-7.25 ,-12.47  ,-9.64  ,-9.31 ,-15.16
200104   ,3.36   ,4.85   ,4.16   ,6.20   ,7.15  ,11.34
200105  ,-1.33  ,-2.17  ,-4.90  ,-2.90  ,-3.03  ,-5.81
200106  ,-1.97  ,-3.06 ,-10.43  ,-3.34  ,-3.02 ,-10.21
200107  ,-0.28   ,0.28  ,-5.49   ,1.66   ,0.94  ,-3.12
200108   ,1.53   ,2.08  ,-2.40   ,0.96   ,0.95  ,-4.04
200109 ,-10.87 ,-12.75 ,-18.70 ,-12.62 ,-14.67 ,-15.07
200110   ,3.64   ,3.82  ,10.11   ,3.33   ,4.96   ,9.86
200111   ,4.50   ,5.74   ,8.55   ,5.67   ,5.80   ,9.82
200112   ,0.22   ,0.89  ,-2.78   ,1.57   ,1.79   ,0.76
200201  ,-0.79  ,-1.14  ,-1.82  ,-2.28  ,-1.04  ,-5.06
200202   ,0.61   ,0.71  ,-3.95   ,1.98   ,0.86  ,-1.40
200203   ,3.78   ,3.53   ,3.54   ,5.84   ,6.87   ,5.56
200204   ,3.52   ,3.78  ,-2.72   ,3.58   ,1.72  ,-3.17
200205   ,3.37   ,2.80  ,-1.09   ,1.74   ,2.65  ,-1.00
200206   ,1.43   ,0.16  ,-4.89  ,-0.95  ,-2.25  ,-5.91
200207  ,-7.26  ,-5.67  ,-8.03 ,-10.20 ,-10.66  ,-9.84
200208  ,-1.23  ,-0.35  ,-1.79  ,-0.43   ,0.36   ,0.58
200209 ,-10.89  ,-8.45 ,-11.94 ,-13.37 ,-11.66 ,-13.06
200210   ,3.86   ,2.38   ,1.90   ,7.29   ,7.43  ,10.11
200211   ,6.81   ,4.53   ,6.84   ,6.85   ,8.07   ,6.60
200212   ,0.29   ,1.39  ,-0.41  ,-2.14  ,-2.17  ,-2.40
200301   ,0.49   ,0.67  ,-1.05  ,-1.83  ,-2.55  ,-1.82
200302  ,-3.73  ,-2.64  ,-5.29  ,-5.98  ,-4.44  ,-2.74
200303  ,-1.31  ,-0.42  ,-3.29  ,-0.66  ,-0.61  ,-0.56
200304  ,13.38  ,11.59  ,12.66  ,16.44  ,15.85  ,17.88
200305  ,12.99  ,10.57  ,13.42  ,10.02   ,8.65  ,10.37
200306   ,5.66   ,4.23   ,5.76   ,1.33   ,1.72   ,1.47
200307   ,4.63   ,3.11   ,4.02   ,4.62   ,3.31   ,1.48
200308   ,5.95   ,3.26   ,3.67   ,2.19   ,1.45   ,0.78
200309   ,9.42   ,6.80   ,6.17   ,3.84   ,4.52   ,4.32
200310   ,6.20   ,4.38   ,4.79   ,8.49   ,5.73   ,5.59
200311   ,4.72   ,4.72   ,4.65   ,4.62   ,4.66   ,4.19
200312   ,4.13   ,5.69   ,4.74   ,5.60   ,6.06   ,6.30
200401  ,12.09   ,5.78   ,7.52   ,4.31   ,3.65   ,2.67
200402   ,5.77   ,4.08   ,4.00   ,2.71   ,3.30   ,4.62
200403  ,-4.08  ,-1.78  ,-3.08  ,-3.47  ,-2.49  ,-1.09
200404  ,-2.95  ,-1.31  ,-1.72  ,-1.50  ,-0.46  ,-1.18
200405  ,-1.50   ,0.78   ,0.09   ,1.44   ,1.55   ,1.37
200406   ,1.50   ,1.61   ,0.36   ,2.81   ,3.07   ,2.18
200407  ,-4.27  ,-1.89  ,-2.62  ,-3.77  ,-2.82  ,-3.71
200408  ,-1.11   ,0.52  ,-0.44  ,-0.48   ,1.17   ,0.85
200409   ,3.40   ,3.31   ,3.32   ,4.24   ,4.37   ,4.74
200410   ,4.31   ,4.72   ,4.32   ,4.53   ,4.48   ,4.00
200411   ,8.07   ,8.09   ,8.77   ,8.42   ,7.84   ,6.85
200412   ,3.11   ,4.79   ,4.20   ,4.61   ,5.05   ,5.82
200501   ,4.18   ,2.40   ,2.90   ,0.45  ,-0.31   ,0.62
200502   ,7.91   ,5.56   ,7.13   ,4.67   ,4.91   ,5.02
200503  ,-2.44  ,-1.81  ,-3.38  ,-2.36  ,-2.29  ,-2.90
200504  ,-2.94  ,-1.59  ,-2.55  ,-2.84  ,-2.84  ,-3.42
200505  ,-2.80  ,-2.07  ,-3.19   ,1.08  ,-0.15   ,1.02
200506   ,2.13   ,1.41   ,1.48   ,1.40   ,1.30   ,2.42
200507   ,4.29   ,4.35   ,3.47   ,4.49   ,4.06   ,5.00
200508   ,5.17   ,3.95   ,4.76   ,3.67   ,3.17   ,3.20
200509   ,0.25   ,1.32   ,0.86   ,1.93   ,1.48   ,2.88
200510  ,-3.07  ,-2.45  ,-3.38  ,-3.21  ,-3.94  ,-4.19
200511  ,-0.39   ,0.23  ,-0.25   ,1.79   ,2.46   ,2.14
200512   ,3.42   ,4.30   ,4.13   ,5.05   ,5.34   ,4.53
200601   ,9.47   ,8.05  ,10.03   ,7.43   ,7.56   ,8.59
200602   ,2.99   ,2.24   ,2.15   ,0.73   ,1.81   ,2.24
200603   ,4.85   ,4.67   ,4.38   ,5.71   ,4.55   ,4.96
200604   ,7.21   ,7.43   ,8.00   ,5.61   ,6.05   ,6.63
200605  ,-2.90  ,-2.13  ,-4.11  ,-3.04  ,-3.66  ,-4.32
200606  ,-2.19  ,-0.93  ,-2.69   ,0.05   ,0.36   ,0.49
200607  ,-0.13  ,-0.33  ,-1.04   ,0.59   ,1.41   ,0.02
200608   ,2.98   ,2.88   ,2.65   ,3.55   ,3.42   ,3.75
200609   ,0.51   ,0.77  ,-0.60   ,2.22   ,1.90   ,1.58
200610   ,2.87   ,3.57   ,1.99   ,4.57   ,4.79   ,4.63
200611   ,6.34   ,5.67   ,4.64   ,4.63   ,4.98   ,5.07
200612   ,2.46   ,3.88   ,4.03   ,4.09   ,4.35   ,5.04
200701   ,4.85   ,4.06   ,3.64   ,1.86   ,2.17   ,1.03
200702   ,1.69   ,1.42   ,1.17   ,0.84   ,0.03   ,0.48
200703   ,3.92   ,3.65   ,2.72   ,5.26   ,5.27   ,5.61
200704   ,5.62   ,5.86   ,5.22   ,5.65   ,5.80   ,4.74
200705   ,1.66   ,1.95   ,0.12   ,1.65   ,1.28   ,1.01
200706   ,1.73   ,0.92   ,0.30  ,-0.27  ,-1.04  ,-1.52
200707  ,-0.32   ,0.86   ,0.03  ,-1.24  ,-1.36  ,-0.73
200708  ,-4.59  ,-3.57  ,-5.33  ,-2.62  ,-2.02  ,-2.41
200709   ,1.76   ,2.51   ,2.32   ,2.96   ,3.22   ,4.55
200710   ,1.60   ,3.05   ,2.39   ,4.04   ,3.92   ,5.09
200711  ,-5.90  ,-6.29  ,-8.30  ,-5.74  ,-5.34  ,-5.88
200712  ,-3.79  ,-2.16  ,-3.69  ,-2.12  ,-1.83  ,-3.07
200801  ,-5.76  ,-6.90  ,-8.23  ,-8.89  ,-9.20  ,-9.89
200802   ,3.00   ,4.48   ,3.04   ,2.44   ,3.99   ,4.58
200803  ,-1.75   ,0.15  ,-2.59   ,0.66   ,2.77   ,1.15
200804   ,1.49   ,1.83   ,0.91   ,2.68   ,2.45   ,4.02
200805   ,0.72   ,0.49   ,1.45   ,0.69   ,0.43   ,1.55
200806  ,-5.05  ,-5.22  ,-6.85 ,-10.71  ,-9.78 ,-10.18
200807  ,-5.23  ,-5.13  ,-7.01  ,-4.03  ,-4.40  ,-5.16
200808  ,-4.76  ,-5.46  ,-6.20  ,-2.85  ,-3.30  ,-4.01
200809 ,-14.86 ,-14.50 ,-17.71 ,-13.15 ,-15.51 ,-20.76
200810 ,-24.06 ,-24.55 ,-27.64 ,-23.82 ,-23.26 ,-31.08
200811  ,-6.21  ,-7.37  ,-9.02  ,-5.52  ,-6.62 ,-10.24
200812   ,1.89   ,3.19  ,-0.06   ,8.48   ,7.42   ,6.50
200901  ,-2.35  ,-5.72  ,-1.55  ,-8.49  ,-9.88  ,-8.39
200902  ,-3.61  ,-4.74  ,-5.36  ,-8.92  ,-9.97  ,-8.52
200903   ,5.16   ,5.06   ,5.84   ,7.73   ,9.89  ,12.46
200904  ,18.54  ,17.39  ,20.94  ,19.05  ,19.70  ,24.45
200905  ,16.50  ,15.26  ,16.92  ,11.31  ,14.14  ,17.84
200906   ,0.56   ,0.78   ,0.26  ,-1.30  ,-2.02  ,-1.44
200907   ,4.86   ,5.56   ,4.07  ,10.29   ,9.47   ,9.60
200908   ,9.43   ,7.96   ,5.95   ,6.25   ,6.95   ,6.36
